Portfolio,Scenario,Bond,Yield Shift (bps),Actual Price Change,Actual % Change,Duration-based Approx,Duration+Convexity Approx,Duration Error (%),Convexity Error (%)
barbell,COVID_Crisis_2020,94973VAN7 Corp,72.68858603916684,-3.0198043025263814,-4.724956307765372,-3.128337926415076,-3.016774332581076,3.594061502525007,-0.10033663250200323
barbell,Inflation_Hike_2022,806605AH4 Corp,303.60480310321543,-11.455007603154648,-17.62273758413408,-13.209832300162082,-11.247861229153415,15.319280072098465,-1.8083477652532185
barbell,Inflation_Hike_2022,532457BA5 Corp,296.9124872710345,-22.377477273329987,-21.19221510787779,-26.103389174278043,-21.916983050823415,16.650276773551624,-2.057846900621814
barbell,Inflation_Hike_2022,92976GAJ0 Corp,307.5765033817171,-24.227188750084167,-21.975761750377494,-28.605462520978232,-23.635942769517154,18.07173674196456,-2.4404233882272415
barbell,Inflation_Hike_2022,438516AT3 Corp,312.64732224203726,-11.069070204995924,-18.2980299016692,-12.790227174423258,-10.864707466886243,15.549246120514306,-1.8462502660561704
barbell,Inflation_Hike_2022,EG6454136 Corp,440.73766706834493,-6.357859223060203,-7.032327943658939,-6.728188994173717,-6.338602922358495,5.824755756942743,-0.3028739710351579
barbell,Inflation_Hike_2022,136375BQ4 Corp,323.3601712506279,-12.001171305003709,-18.974179468175226,-14.026934928672507,-11.737732624260323,16.87971592259654,-2.1951080777719514
barbell,Inflation_Hike_2022,278058DB5 Corp,317.52047305933667,-23.345916986893258,-22.14067255459932,-27.481431940006217,-22.801377324733075,17.714082318697095,-2.3324835022153794
barbell,Inflation_Hike_2022,670346AH8 Corp,343.59518223865626,-12.655644570587114,-19.95890485581476,-14.928980733696566,-12.341216023922467,17.963021562670107,-2.4844925512163023
barbell,Inflation_Hike_2022,94973VAN7 Corp,343.7079190205447,-12.593022642916672,-19.70375422033212,-14.792343299975629,-12.297925879703458,17.46459701869933,-2.3433354451975084
barbell,Parallel_Up_100bps,806605AH4 Corp,100.00000000154607,-4.146017963917004,-6.378362121478971,-4.350995822643629,-4.138145004592069,4.943969382442566,-0.1898920697752319
barbell,Parallel_Up_100bps,532457BA5 Corp,99.99999999999898,-8.335465009152884,-7.8939625472746435,-8.791610421709706,-8.316729818737251,5.472345118789947,-0.22476478990746795
barbell,Parallel_Up_100bps,92976GAJ0 Corp,100.00000000000023,-8.796759123932247,-7.979278350333691,-9.300275608334605,-8.774974750321176,5.723886232516053,-0.2476409016566702
barbell,Parallel_Up_100bps,438516AT3 Corp,100.0000000006665,-3.9010768922856585,-6.4487820839311425,-4.0909440972620565,-3.8939566550300895,4.867045952153843,-0.18251978753992734
barbell,Parallel_Up_100bps,EG6454136 Corp,99.99999999904891,-1.5067519155937674,-1.66659456091127,-1.5265745355652547,-1.5065185926468616,1.3155861802024484,-0.015485160130947365
