,88732JAJ7 Corp,314275AC2 Corp,53079EAN4 Corp,53079EAN4 Corp_3,92553PAC6 Corp
Company,Time Warner Cable LLC,Macy's Retail Holdings LLC,Liberty Mutual Group Inc,Liberty Mutual Group Inc,Paramount Global
Ticker,CHTR,M,LIBMUT,LIBMUT,PARA
Rating,BB+,BB+,BB+,BB+,BB+
Issue Date,2007-10-30 00:00:00,2007-03-12 00:00:00,2007-03-07 00:00:00,2007-03-07 00:00:00,2007-10-05 00:00:00
Maturity Date,2037-05-01 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-10-05 00:00:00
2016-01-29 00:00:00,15.011,15.011,15.011,15.011,15.011
2016-02-01 00:00:00,15.447,15.447,15.447,15.447,15.447
2016-02-02 00:00:00,15.672,15.672,15.672,15.672,15.672
2016-02-03 00:00:00,15.755,15.755,15.755,15.755,15.755
2016-02-04 00:00:00,15.298,15.298,15.298,15.298,15.298
2016-02-05 00:00:00,15.556,15.556,15.556,15.556,15.556
2016-02-08 00:00:00,15.855,15.855,15.855,15.855,15.855
2016-02-09 00:00:00,16,16,16,16,16
2016-02-10 00:00:00,16.455,16.455,16.455,16.455,16.455
2016-02-11 00:00:00,17.501,17.501,17.501,17.501,17.501
2016-02-12 00:00:00,16.748,16.748,16.748,16.748,16.748
2016-02-16 00:00:00,16.629,16.629,16.629,16.629,16.629
2016-02-17 00:00:00,16.328,16.328,16.328,16.328,16.328
2016-02-18 00:00:00,16.599,16.599,16.599,16.599,16.599
2016-02-19 00:00:00,16.55,16.55,16.55,16.55,16.55
2016-02-22 00:00:00,16.173,16.173,16.173,16.173,16.173
2016-02-23 00:00:00,16.642,16.642,16.642,16.642,16.642
2016-02-24 00:00:00,16.995,16.995,16.995,16.995,16.995
2016-02-25 00:00:00,16.541,16.541,16.541,16.541,16.541
2016-02-26 00:00:00,16.214,16.214,16.214,16.214,16.214
2016-02-29 00:00:00,15.472,15.472,15.472,15.472,15.472
2016-03-01 00:00:00,15.129,15.129,15.129,15.129,15.129
2016-03-02 00:00:00,14.455,14.455,14.455,14.455,14.455
2016-03-03 00:00:00,14.057,14.057,14.057,14.057,14.057
2016-03-04 00:00:00,13.248,13.248,13.248,13.248,13.248
2016-03-07 00:00:00,12.595,12.595,12.595,12.595,12.595
2016-03-08 00:00:00,12.931,12.931,12.931,12.931,12.931
2016-03-09 00:00:00,13.253,13.253,13.253,13.253,13.253
2016-03-10 00:00:00,12.92,12.92,12.92,12.92,12.92
2016-03-11 00:00:00,13.037,13.037,13.037,13.037,13.037
2016-03-14 00:00:00,13.061,13.061,13.061,13.061,13.061
2016-03-15 00:00:00,13.052,13.052,13.052,13.052,13.052
2016-03-16 00:00:00,13.117,13.117,13.117,13.117,13.117
2016-03-17 00:00:00,12.974,12.974,12.974,12.974,12.974
2016-03-18 00:00:00,12.772,12.772,12.772,12.772,12.772
2016-03-21 00:00:00,12.895,12.895,12.895,12.895,12.895
2016-03-22 00:00:00,13.265,13.265,13.265,13.265,13.265
2016-03-23 00:00:00,13.868,13.868,13.868,13.868,13.868
2016-03-24 00:00:00,13.853,13.853,13.853,13.853,13.853
2016-03-28 00:00:00,14.01,14.01,14.01,14.01,14.01
2016-03-29 00:00:00,14.088,14.088,14.088,14.088,14.088
2016-03-30 00:00:00,14.043,14.043,14.043,14.043,14.043
2016-03-31 00:00:00,14.295,14.295,14.295,14.295,14.295
2016-04-01 00:00:00,14.538,14.538,14.538,14.538,14.538
2016-04-04 00:00:00,14.608,14.608,14.608,14.608,14.608
2016-04-05 00:00:00,15.188,15.188,15.188,15.188,15.188
2016-04-06 00:00:00,14.824,14.824,14.824,14.824,14.824
2016-04-07 00:00:00,15.067,15.067,15.067,15.067,15.067
2016-04-08 00:00:00,14.684,14.684,14.684,14.684,14.684
2016-04-11 00:00:00,14.298,14.298,14.298,14.298,14.298
2016-04-12 00:00:00,13.504,13.504,13.504,13.504,13.504
2016-04-13 00:00:00,13.204,13.204,13.204,13.204,13.204
2016-04-14 00:00:00,13.023,13.023,13.023,13.023,13.023
2016-04-15 00:00:00,12.365,12.365,12.365,12.365,12.365
2016-04-18 00:00:00,12.492,12.492,12.492,12.492,12.492
2016-04-19 00:00:00,11.754,11.754,11.754,11.754,11.754
2016-04-20 00:00:00,11.392,11.392,11.392,11.392,11.392
2016-04-21 00:00:00,11.719,11.719,11.719,11.719,11.719
2016-04-22 00:00:00,11.756,11.756,11.756,11.756,11.756
2016-04-25 00:00:00,11.793,11.793,11.793,11.793,11.793
2016-04-26 00:00:00,11.887,11.887,11.887,11.887,11.887
2016-04-27 00:00:00,11.592,11.592,11.592,11.592,11.592
2016-04-28 00:00:00,11.69,11.69,11.69,11.69,11.69
2016-04-29 00:00:00,11.911,11.911,11.911,11.911,11.911
2016-05-02 00:00:00,11.809,11.809,11.809,11.809,11.809
2016-05-03 00:00:00,12.314,12.314,12.314,12.314,12.314
2016-05-04 00:00:00,12.51,12.51,12.51,12.51,12.51
2016-05-05 00:00:00,12.976,12.976,12.976,12.976,12.976
2016-05-06 00:00:00,12.606,12.606,12.606,12.606,12.606
2016-05-09 00:00:00,12.849,12.849,12.849,12.849,12.849
2016-05-10 00:00:00,12.546,12.546,12.546,12.546,12.546
2016-05-11 00:00:00,12.437,12.437,12.437,12.437,12.437
2016-05-12 00:00:00,12.178,12.178,12.178,12.178,12.178
2016-05-13 00:00:00,12.336,12.336,12.336,12.336,12.336
2016-05-16 00:00:00,12.043,12.043,12.043,12.043,12.043
2016-05-17 00:00:00,12.296,12.296,12.296,12.296,12.296
2016-05-18 00:00:00,12.585,12.585,12.585,12.585,12.585
2016-05-19 00:00:00,12.57,12.57,12.57,12.57,12.57
2016-05-20 00:00:00,12.375,12.375,12.375,12.375,12.375
2016-05-23 00:00:00,12.639,12.639,12.639,12.639,12.639
2016-05-24 00:00:00,12.513,12.513,12.513,12.513,12.513
2016-05-25 00:00:00,12.307,12.307,12.307,12.307,12.307
2016-05-26 00:00:00,12.386,12.386,12.386,12.386,12.386
2016-05-27 00:00:00,12.223,12.223,12.223,12.223,12.223
